"lon","lat","tmp_1"
-118.75,32.75,11.5
-118.25,32.75,10.4000005722046
-117.25,32.75,12
-116.75,32.75,7.5
-116.25,32.75,6.09999990463257
-115.75,32.75,10
-115.25,32.75,11
-114.75,32.75,11.1999998092651
-114.25,32.75,10.6000003814697
-113.75,32.75,10.6000003814697
-113.25,32.75,10.4000005722046
-119.75,33.25,10.9000005722046
-119.25,33.25,10.9000005722046
-118.75,33.25,10.9000005722046
-118.25,33.25,10.6000003814697
-117.75,33.25,11
-117.25,33.25,10.1000003814697
-116.75,33.25,6.30000019073486
-116.25,33.25,8.40000057220459
-115.75,33.25,10.5
-115.25,33.25,9.60000038146973
-114.75,33.25,9.30000019073486
-114.25,33.25,8.90000057220459
-113.75,33.25,9.30000019073486
-113.25,33.25,9.30000019073486
-120.25,33.75,10.6000003814697
-119.75,33.75,10.5
-118.25,33.75,12.1999998092651
-117.75,33.75,10.8000001907349
-117.25,33.75,9.69999980926514
-116.75,33.75,5
-116.25,33.75,8.60000038146973
-115.75,33.75,8
-115.25,33.75,8.30000019073486
-114.75,33.75,8.90000057220459
-114.25,33.75,8.40000057220459
-113.75,33.75,7.90000009536743
-113.25,33.75,7
-120.25,34.25,10.1999998092651
-119.75,34.25,9.80000019073486
-119.25,34.25,10.6999998092651
-118.75,34.25,9.69999980926514
-118.25,34.25,8
-117.75,34.25,5.5
-117.25,34.25,5.80000019073486
-116.75,34.25,2.10000014305115
-116.25,34.25,6.40000009536743
-115.75,34.25,6.59999990463257
-115.25,34.25,8.10000038146973
-114.75,34.25,8
-114.25,34.25,8.69999980926514
-113.75,34.25,7
-113.25,34.25,6.59999990463257
-120.75,34.75,9.69999980926514
-120.25,34.75,8.80000019073486
-119.75,34.75,6.30000019073486
-119.25,34.75,4.80000019073486
-118.75,34.75,5.30000019073486
-118.25,34.75,6.59999990463257
-117.75,34.75,7.20000028610229
-117.25,34.75,7.20000028610229
-116.75,34.75,5.40000009536743
-116.25,34.75,6.90000009536743
-115.75,34.75,6.70000028610229
-115.25,34.75,7.40000009536743
-114.75,34.75,7.59999990463257
-114.25,34.75,7.59999990463257
-113.75,34.75,5
-113.25,34.75,3.20000004768372
-121.25,35.25,9.5
-120.75,35.25,9.80000019073486
-120.25,35.25,7.40000009536743
-119.75,35.25,7
-119.25,35.25,8.60000038146973
-118.75,35.25,7.20000028610229
-118.25,35.25,5.30000019073486
-117.75,35.25,7.30000019073486
-117.25,35.25,6.90000009536743
-116.75,35.25,6.30000019073486
-116.25,35.25,7.30000019073486
-115.75,35.25,6.40000009536743
-115.25,35.25,5.40000009536743
-114.75,35.25,6.59999990463257
-114.25,35.25,5.70000028610229
-113.75,35.25,3.60000014305115
-113.25,35.25,3.70000004768372
-121.25,35.75,8.5
-120.75,35.75,7.5
-120.25,35.75,7.20000028610229
-119.75,35.75,7.20000028610229
-119.25,35.75,6.90000009536743
-118.75,35.75,5.30000019073486
-118.25,35.75,2.70000004768372
-117.75,35.75,5.59999990463257
-117.25,35.75,5.40000009536743
-116.75,35.75,6.90000009536743
-116.25,35.75,7.20000028610229
-115.75,35.75,5.09999990463257
-115.25,35.75,4
-114.75,35.75,5.20000028610229
-114.25,35.75,4.40000009536743
-113.75,35.75,2.90000009536743
-113.25,35.75,3.10000014305115
-121.75,36.25,7.20000028610229
-121.25,36.25,6.30000019073486
-120.75,36.25,5.90000009536743
-120.25,36.25,6.40000009536743
-119.75,36.25,5.80000019073486
-119.25,36.25,6.09999990463257
-118.75,36.25,2
-118.25,36.25,-2.40000009536743
-117.75,36.25,1.60000002384186
-117.25,36.25,2.40000009536743
-116.75,36.25,6
-116.25,36.25,4.59999990463257
-115.75,36.25,1.20000004768372
-115.25,36.25,3.90000009536743
-114.75,36.25,4
-114.25,36.25,4.20000028610229
-113.75,36.25,1.60000002384186
-113.25,36.25,0.100000001490116
-122.25,36.75,8.5
-121.75,36.75,7.5
-121.25,36.75,5.70000028610229
-120.75,36.75,6
-120.25,36.75,6.20000028610229
-119.75,36.75,6.40000009536743
-119.25,36.75,4.80000019073486
-118.75,36.75,-1.5
-118.25,36.75,-2.20000004768372
-117.75,36.75,1.5
-117.25,36.75,3.29999995231628
-116.75,36.75,4.09999990463257
-116.25,36.75,2.60000014305115
-115.75,36.75,2.10000014305115
-115.25,36.75,0.300000011920929
-114.75,36.75,3.20000004768372
-114.25,36.75,2.5
-113.75,36.75,0.300000011920929
-113.25,36.75,-0.900000035762787
-122.25,37.25,7.80000019073486
-121.75,37.25,5.70000028610229
-121.25,37.25,5.09999990463257
-120.75,37.25,5.59999990463257
-120.25,37.25,5.40000009536743
-119.75,37.25,4
-119.25,37.25,0.100000001490116
-118.75,37.25,-4.80000019073486
-118.25,37.25,-1.10000002384186
-117.75,37.25,0.900000035762787
-117.25,37.25,0.5
-116.75,37.25,1.20000004768372
-116.25,37.25,-0.300000011920929
-115.75,37.25,-0.300000011920929
-115.25,37.25,-0.600000023841858
-114.75,37.25,-0.5
-114.25,37.25,-1.70000004768372
-113.75,37.25,-2.20000004768372
-113.25,37.25,-3
-122.75,37.75,7.59999990463257
-122.25,37.75,7.90000009536743
-121.75,37.75,5.09999990463257
-121.25,37.75,5.30000019073486
-120.75,37.75,5.09999990463257
-120.25,37.75,3.5
-119.75,37.75,-0.100000001490116
-119.25,37.75,-3.60000014305115
-118.75,37.75,-3.20000004768372
-118.25,37.75,-3
-117.75,37.75,-0.900000035762787
-117.25,37.75,-0.100000001490116
-116.75,37.75,0.800000011920929
-116.25,37.75,-1.80000007152557
-115.75,37.75,-1.60000002384186
-115.25,37.75,-2
-114.75,37.75,-3.10000014305115
-114.25,37.75,-3.90000009536743
-113.75,37.75,-4.59999990463257
-113.25,37.75,-4.5
-123.25,38.25,7.30000019073486
-122.75,38.25,6.80000019073486
-122.25,38.25,6.30000019073486
-121.75,38.25,5.20000028610229
-121.25,38.25,5
-120.75,38.25,4
-120.25,38.25,1
-119.75,38.25,-3.20000004768372
-119.25,38.25,-3.5
-118.75,38.25,-2.5
-118.25,38.25,-1.70000004768372
-117.75,38.25,-1.80000007152557
-117.25,38.25,-1.39999997615814
-116.75,38.25,-2.29999995231628
-116.25,38.25,-2.79999995231628
-115.75,38.25,-3.10000014305115
-115.25,38.25,-3.40000009536743
-114.75,38.25,-4.30000019073486
-114.25,38.25,-5.20000028610229
-113.75,38.25,-6.5
-113.25,38.25,-5.59999990463257
-123.75,38.75,6.80000019073486
-123.25,38.75,6.59999990463257
-122.75,38.75,5.59999990463257
-122.25,38.75,4.70000028610229
-121.75,38.75,5.20000028610229
-121.25,38.75,4.59999990463257
-120.75,38.75,3.79999995231628
-120.25,38.75,-1.70000004768372
-119.75,38.75,-3.5
-119.25,38.75,-3.20000004768372
-118.75,38.75,-2.5
-118.25,38.75,-1.80000007152557
-117.75,38.75,-2.70000004768372
-117.25,38.75,-3.29999995231628
-116.75,38.75,-3.90000009536743
-116.25,38.75,-3.79999995231628
-115.75,38.75,-3.5
-115.25,38.75,-5
